1,hình thức học các lớp bảo lưu điểm quá trình như thế nào,kết hợp giữa trực tuyến và trực tiếp
0,Bộ môn tiếng Anh tại Đại học Xây dựng Hà Nội có những thành tựu nào trong nghiên cứu khoa học?,Quy mô tuyển sinh: 200 sinh viên/năm học ngành và chuyên ngành đào tạo: các ngành và chuyên ngành đào tạo vừa làm vừa học của trường đhxdhn hình thức tuyển sinh: xét tuyển thời điểm thi tuyển sinh: theo kế hoạch tuyển sinh hàng năm.
1,Sinh viên có thể sử dụng thành thạo cả hai ngoại ngữ sau bao lâu,sinh viên có thể sử dụng thành thạo cả 2 ngoại ngữ sau 5 năm học tập
1,Hình thức tuyển sinh của chương trình đại học vừa làm vừa học là gì,hình thức tuyển sinh: xét tuyển
0,Sinh viên được phép làm những gì trên máy tính?,học tập thực tế tại các tổ chức doanh nghiệp thông qua thực tập và thực hành nghề nghiệp học tập từ các cuộc thi hội
1,các ngành nào có thể cấp bằng cử nhân?,mỹ thuật đô thị công nghệ đa phương tiện quản lý hạ tầng đất đai đô thị kiểm toán đầu tư xây dựng quản lý dự án logistics và quản lý chuỗi cung ứng logistics đô thị
0,Sinh viên có thể làm việc ở đâu sau khi ra trường?,sinh viên tốt nghiệp chuyên ngành máy xây dựng có thể làm việc ở các vị trí sau: thiết kế chế tạo lắp ráp thiết bị cơ khí và hệ thống cơ khí điện công nghiệp
1,sinh viên cần sử dụng tài khoản gì nếu chưa tốt nghiệp chương trình cử nhân?,sử dụng mã sinh viên cũ để đăng ký các học phần chưa đạt
0,"Sau khi tốt nghiệp, sinh viên có thể làm việc ở đâu?",nhà sản xuất phân phối trang thiết bị nội thất
0,Phòng lập kế hoạch đào tạo như thế nào?,tổ chức việc lựa chọn nhà thầu thực hiện các công việc của dự án
1,công ty có thực hiện kiểm tra và phân tích kỹ thuật không?,kiểm tra và phân tích kỹ thuật
1,Địa chỉ liên hệ của ban quản lý ký túc xá là gì,địa chỉ liên hệ của ban quản lý ký túc xá là số 72 trần đại nghĩa phường đồng tâm quận hai bà trưng hà nội
0,Trường đang mở các lớp đào tạo liên tục nào?,gắn học với hành và gắn kết với doanh nghiệp bên cạnh đó khoa kiến trúc và quy hoạch cũng không ngừng mở rộng hợp tác với các đơn vị tư vấn thiết kế và các doanh nghiệp ngành xây dựng trong nước
0,"Sau khi tốt nghiệp, sinh viên có thể làm những công việc gì?",học bổng flc lê mộng đào 5 triệu đồng
